date,Headlines,Description,source,country_pair
2018-06-22,Chinese media says U.S. has 'delusions' as impact of trade war spreads,"U.S. protectionism is self-defeating and a ""symptom of paranoid delusions"" that must not distract China from its path to modernization, Chinese media said on Friday as Beijing kept up with its war of words with Washington while markets wilted.",Reuters,CHN-USA
2018-06-22,Instant View: OPEC agrees modest hike in oil supply,"""I’m not sure it’s a victory for Iran. They were kind of isolated here. To the extent they get the blame for higher prices, it’s not welcome news for their customers, especially those who have signaled they will continue buying from them despite U.S. sanctions.""",Reuters,IRN-USA
2018-06-25,Advent takes over GE distributed power unit for $3.25 billion,"U.S. buyout group Advent agreed to buy General Electric Co's distributed power unit for $3.25 billion, the companies said on Monday, marking GE's exit from a growing segment of the power business.",Reuters,CHN-USA
2018-06-25,"Exclusive: Facing U.S. blowback, Beijing softens 'Made in China 2025' message","Beijing has begun downplaying Made in China 2025, the state-backed industrial policy that has provoked alarm in the West and is core to Washington's complaints about the country's technological ambitions, diplomatic and Chinese state media sources said.",Reuters,CHN-USA
2018-06-25,China's Premier Li says willing to talk about buying Airbus aircraft,Chinese Premier Li Keqiang told French Prime Minister Edouard Philippe on Monday that China was planning to buy lots of planes this year and is willing to continue talks with France on buying Airbus aircraft.,Reuters,CHN-FRA
2018-06-25,China tells France an Airbus deal is still alive,Chinese Premier Li Keqiang said on Monday Beijing was willing to continue talks over the purchase of Airbus jets after French President Emmanuel Macron failed to clinch a deal earlier this year.,Reuters,CHN-FRA
2018-06-25,U.S. coal miners worry Trump-China trade dispute could hit exports,"U.S. coal mining companies are worried President Donald Trump’s intensifying trade dispute with China could hurt their booming export business, one of the ailing sector’s most important lifelines, according to industry players.",Reuters,CHN-USA
2018-06-25,"We've changed, Uber tells court in London license battle",Uber [UBER.UL] accepted it had made mistakes but said it had changed on Monday in a court challenge to a decision stripping it of its London license after it was ruled unfit to run a taxi service in its most important European market.,Reuters,CHN-GBR
2018-06-26,U.S. senators want Trump to reconsider lifting ban on China's ZTE,"Two U.S. senators urged President Donald Trump on Tuesday to reconsider his agreement with ZTE Corp , saying lifting a ban on China's second-largest telecommunications maker poses ""a significant threat"" to national security.",Reuters,CHN-USA
2018-06-26,U.S. tariffs funnel Asian steel to Canada's oil industry,"Steel pipes and tubes used in drilling and transporting crude oil flooded into Canada this spring, a Reuters analysis shows, as U.S. President Donald Trump's steel tariffs forced producers from Asia to Europe to seek new markets.",Reuters,CAN-USA
2018-06-27,Chevron renewal of Rokan block not assured: Indonesia minister,"U.S. energy giant Chevron Corp must compete if it wants to continue operating Indonesia's Rokan block, the country's biggest source of crude oil, after its contract expires in 2021, Indonesia Energy and Mines Minister Ignasius Jonan said on Wednesday.",Reuters,IDN-USA
2018-06-27,Trump to use U.S. security review panel to curb China tech investments,"U.S. President Donald Trump said on Wednesday he will use a strengthened national security review process to thwart Chinese acquisitions of sensitive American technologies, a softer approach than imposing China-specific investment restrictions.",Reuters,CHN-USA
2018-06-27,Canada lobbies Big Three U.S. carmakers to fight auto tariffs,"Canada's trade minister last week met senior officials from General Motors Co and Fiat Chrysler Automobiles NV in Detroit, as Ottawa takes its lobbying effort directly to the Big Three carmakers to avert potential U.S. auto tariffs.",Reuters,CAN-USA
2018-06-27,Worsening trade row deepens chill felt by Chinese dealmakers seeking to do U.S. takeovers,The rapidly deteriorating trade and investment relationship between Washington and Beijing is sending a further chill through Chinese dealmakers who have already seen the number of Chinese acquisitions of American assets take a big hit.,Reuters,CHN-USA
2018-06-27,Oil rallies as supply disruptions seen from Canada to Libya,"Oil prices jumped on Wednesday as plunging U.S. crude stockpiles compounded supply worries in a market already uncertain about Libyan exports, a production disruption in Canada and Washington's demands that importers stop buying Iranian crude from November.",Reuters,CAN-USA
2018-06-28,"Canada to aid steel, aluminum industries hit by U.S. tariffs: source","Canada will hit back against U.S. tariffs on its steel and aluminum by offering affected companies and workers up to C$800 million ($603 million) in aid, a source familiar with the matter said on Thursday.",Reuters,CAN-USA
2018-06-28,Trump says SoftBank Son's U.S. investment hitting $72 billion,"MT. PLEASANT, Wis. - U.S. President Donald Trump said on Thursday SoftBank Group Corp Chief Executive Masayoshi Son is increasing his investment in the United States to $72 billion, significantly more than the $50 billion he had previously pledged.",Reuters,MLT-USA
2018-06-28,U.S. fines CVS for failing to report opioid theft in New York,"CVS Health Corp agreed to pay a $1.5 million civil fine to resolve U.S. charges that some of its pharmacies in Nassau and Suffolk counties in New York failed to report in a timely manner the loss or theft of prescription drugs, including the opioid hydrocodone.",Reuters,BHS-USA
2018-06-28,"Trade war or not, China Inc already reining in American brands","As Beijing and Washington veer towards a full-blown trade war, American brands in China face what may be an even bigger threat: local rivals armed with innovative products and the Chinese government's blessing.",Reuters,CHN-USA
2018-06-28,Factbox: Crossfire of tariffs as Trump rattles world trade order,"U.S. President Donald Trump has rattled the world trade order this year by seeking to renegotiate the terms of some of the United States' trading relationships, in particular with China. He has imposed tariffs on some imports, in turn sparking retaliatory action by other countries, raising fears of a global trade war.",Reuters,CHN-USA
2018-06-28,China says carefully monitoring U.S. policies on inbound investments,"China's commerce ministry said on Thursday it would carefully monitor U.S. policies on inbound investments, stressing that the country opposes using national security as grounds to restrict foreign investments.",Reuters,CHN-USA
2018-06-28,LVMH cuts ties with Bono's ethical fashion brand Edun,"French luxury group LVMH is parting ways with the eco-friendly Edun label started by singer Bono and his wife Ali Hewson, transferring its minority stake back to the founders as the firm winds down its U.S. operations.",Reuters,JPN-USA
2018-06-29,Japan's SoftBank hires Ford's chief lobbyist as it ramps up Washington profile,"Ford Motor Co's long-time top lobbyist is leaving the No. 2 U.S. automaker to join Japan's Softbank Group , which is muscling up its Washington efforts, the companies said on Friday.",Reuters,JPN-USA
2018-06-29,Oil gains on anticipation of sanctions on Iran,Oil prices rose on Friday on concern that U.S. sanctions against Iran would remove a substantial volume of crude oil from world markets at a time of rising global demand.,Reuters,IRN-USA
2018-06-29,Canada hits back on U.S. tariffs; Mnuchin denies Trump wants to quit WTO,"Canada struck back at the Trump administration on Friday over U.S. steel and aluminum tariffs, vowing to impose punitive measures on C$16.6 billion ($12.63 billion) worth of American goods until Washington relents.",Reuters,CAN-USA
2018-06-29,"Canada hits back at U.S. on tariffs, says it will not back down","Canada struck back at the Trump administration over U.S. steel and aluminum tariffs on Friday, vowing to impose punitive measures on C$16.6 billion ($12.63 billion) worth of American goods until Washington relents.",Reuters,CAN-USA
2018-06-29,Treasury chief Mnuchin slams report that Trump wants to exit WTO,"U.S. Treasury Secretary Steve Mnuchin said on Friday a report by the Axios news website, that cited sources as saying President Donald Trump wanted the United States to withdraw from the World Trade Organization, was wrong.",Reuters,CHN-USA
2018-06-29,China's Xiaomi raises $4.72 billion after pricing HK IPO at bottom of range: sources,"HONG KONG (Reuters/IFR) - China's Xiaomi Corp priced its Hong Kong initial public offering (IPO) at the bottom of an indicative range, raising $4.72 billion in the world's biggest tech float in four years, people close to the transaction said on Friday.",Reuters,CHN-HKG
2018-06-29,China says U.S. should tell airlines to change websites in Taiwan row,"China said on Friday that the United States should tell its airlines to change their websites to refer to self-ruled Taiwan as Chinese territory, after the United States said China had rejected requests for talks on the matter.",Reuters,CHN-TWN
2018-06-29,U.S. funds remain cautious faced with trade war threat: Reuters poll,"U.S. fund managers in June replicated defensive recommendations from the previous month with slightly more cash, a Reuters poll showed, underscoring worries that a U.S. trade conflict with China and some of its own allies will hurt global growth.",Reuters,CHN-USA
2018-06-29,"Spooked by Trump, Europe's Iranian oil purchases set to plummet","European refiners are cutting purchases of Iranian oil faster than expected as the U.S. prepares to reimpose sanctions on Iran, threatening a more severe impact than the last round of punitive measures in 2012 even though the EU has not joined in.",Reuters,IRN-USA
2018-06-30,"Trump, Trudeau discuss trade, economic issues over phone call","U.S. President Donald Trump spoke with Canadian Prime Minister Justin Trudeau late on Friday to discuss trade and other economic issues, White House Press Secretary Sarah Sanders said on Saturday.",Reuters,CAN-USA
2018-06-30,China factory growth slows in June as trade tensions rise,"Growth in China's manufacturing sector slowed in June after a better-than-expected performance in May, official data showed, as escalating trade tensions with the United States fuel concerns about a slowdown in the world's second-biggest economy.",Reuters,CHN-USA
2018-07-01,South Korea's Hyundai says U.S. car tariffs would harm security ties over North Korea,Hyundai Motor cautioned the U.S. administration that imposing up to 25 percent tariffs on imported vehicles from South Korea would hurt a security alliance between the two countries over North Korea's nuclear ambitions.,Reuters,KOR-USA
2018-07-01,Saudi king said will boost oil output if needed: White House,"The leader of Saudi Arabia promised President Donald Trump that he can raise oil production if needed and the country has 2 million barrels per day of spare capacity, the White House said on Saturday, rowing back on an earlier Trump tweet that appeared to suggest the Saudis had agreed to boost output by that amount.",Reuters,SAU-USA
2018-07-01,"Trump blasts OPEC, warns European companies against Iran ties",President Donald Trump lashed out at OPEC with a warning to stop manipulating oil markets and piled pressure on close U.S. allies in an interview that aired on Sunday with a threat to sanction European companies that do business with Iran.,Reuters,IRN-USA
2018-07-02,U.S. fund managers zero in on software as tariffs upend tech sector,Worries that a broadening trade war between the United States and China will upend the global supply chain are prompting some U.S. fund managers to buy shares of companies they believe will shield them from such disruptions.,Reuters,CHN-USA
2018-07-02,Report of Trump bill rejecting WTO seen by trade experts as hot air,"U.S. President Donald Trump has ordered the drafting of legislation that would mean abandoning key disciplines agreed at the World Trade Organization, Axios news website reported late on Sunday, to a skeptical response from trade experts.",Reuters,CHN-USA
2018-07-02,Asian shares post worst first-half performance in 5 years,Asian stocks declined sharply in June amid higher global bond yields and mounting China-U.S. trade friction that threatened global economic growth.,Reuters,CHN-USA
2018-07-02,Solid capital spending plans a bright spot in Bank of Japan's downbeat tankan,"Business confidence among Japan's big manufacturers worsened for a second straight quarter in the three months to June, a Bank of Japan survey showed, with the outlook clouded by U.S. trade protectionism and rising input costs.",Reuters,JPN-USA
2018-07-03,"Nestle, Hershey at odds with farmers over U.S. GMO labeling",The world's top food companies and farmers of crops such as beet sugar are pitted against each other as they lobby the U.S. government over plans to label genetically engineered ingredients.,Reuters,JPN-USA
2018-07-03,"Hong Kong's craft beer sector grows, but real prize may be few miles away","The number of craft beer brewers in Hong Kong has risen to more than 35 from none five years ago and many are betting on China's expanding market to fuel sales, especially as the mainland develops an economic zone just a few miles away.",Reuters,CHN-HKG
2018-07-03,China's Xiaomi says American ties to smooth U.S. push amid trade tension,"China's Xiaomi Corp is pressing ahead with plans to enter the United States next year, saying its U.S. connections should help the consumer-focused smartphone maker skirt the political resistance met by some of its compatriot rivals.",Reuters,CHN-USA
2018-07-03,China urges the United States to be fair to Chinese companies,"China on Tuesday urged the United States to provide a fair environment for Chinese companies doing business in the country, after Washington moved to block China Mobile from offering services to the U.S. telecommunications market.",Reuters,CHN-USA
2018-07-03,Qatar to buy New York's Plaza Hotel for $600 million: source,"The tiny but ultra-rich Gulf state of Qatar has agreed to buy one of New York's most iconic buildings, the Plaza Hotel, for around $600 million, adding a development that was once owned by U.S. President Donald Trump to its luxury property portfolio.",Reuters,QAT-USA
2018-07-03,Hyundai Motor's union votes to strike after wage talks fail,"Hyundai Motor's unionized workers in South Korea voted on Tuesday to strike over stalled wage talks, adding to the woes of the automaker that is bracing for potential new U.S. tariffs amid falling profits.",Reuters,KOR-USA
2018-07-03,"Amsterdam adds to exchange Brexit spoils with Cboe, LSE wins","Two of the world's top exchanges, Chicago's Cboe Global Markets and the London Stock Exchange Group will open European Union stock trading venues in Amsterdam in time for Britain's departure from the bloc next March, adding to the Dutch city's Brexit spoils.",Reuters,CHN-NLD
2018-07-03,Ex-Intel executive departs Google as chipmaker searches for CEO,"Diane Bryant, a former Intel Corp executive who headed the chipmaker's data center unit, is leaving Alphabet Inc's cloud computing unit less than a year after joining and just as her old employer searches for a new chief executive.",Reuters,JPN-RUS
2018-07-04,ZTE given temporary reprieve from U.S.; removes more executives,China's embattled ZTE Corp has received a temporary reprieve from the U.S. government to conduct business needed to maintain existing networks and equipment as it works toward the lifting of a U.S. supplier ban.,Reuters,CHN-USA
2018-07-04,General Motors's China vehicle sales growth rate eases in second-quarter,"U.S. automaker General Motors Co said on Wednesday its second-quarter sales in China increased 0.7 percent to 858,344 vehicles compared with the same period a year ago.",Reuters,CHN-USA
2018-07-04,Exclusive: China presses Europe for anti-U.S. alliance on trade,"China is putting pressure on the European Union to issue a strong joint statement against President Donald Trump's trade policies at a summit later this month but is facing resistance, European officials said.",Reuters,CHN-USA
2018-07-04,"Trade worries dent stocks, yuan steadies","World stocks were flat on Wednesday amid growing anxiety ahead of Washington's end of week deadline to impose tariffs on Chinese imports, while the yuan steadied after China's central bank acted to calm investors.",Reuters,CHN-USA
2018-07-05,"U.S., European shares rise on hints of tariff relief","Stock markets in Europe and the United States advanced on Thursday, offsetting more losses in Asia as investors were encouraged by economic data from Germany and a report that its big carmakers could be spared from U.S. tariffs.",Reuters,DEU-USA
2018-07-05,China's central bank adviser says U.S. tariffs seen cutting GDP growth by 0.2 percent points: Xinhua,"A China central bank adviser said the planned U.S. import tariffs on $50 billion worth of Chinese goods will cut China's growth by 0.2 percentage points but its overall impact will be limited, the official Xinhua news agency reported Friday.",Reuters,CHN-USA
2018-07-05,"China foreign minister slams trade protectionism as short-sighted, damaging","Chinese foreign minister Wang Yi said trade protectionism was ""short-sighted"" behaviour and would harm all sides, the country's foreign ministry said in a statement on Friday, amid sharpening trade tensions between Washington and Beijing.",Reuters,CHN-USA
2018-07-05,China's ZTE names new top executives in step towards U.S. ban lifting,ZTE Corp has appointed a new team of top executives including a CEO to comply with a deal it made with the United States to end a ban on U.S. firms supplying parts to China's second-biggest telecommunications equipment maker.,Reuters,CHN-USA
2018-07-05,"China keeps LNG off tariff list for now, could be trade weapon later",China's omission of liquefied natural gas (LNG) from its vast list of U.S. products that face hefty import duties from Friday has preserved a potential weapon should the trade war with Washington deepen.,Reuters,CHN-USA
2018-07-05,Glencore gives shares $1 billion buyback lift after U.S. subpoena,Commodities trader and miner Glencore will buy back shares worth $1 billion in a move analysts said looked timed to soothe investor nerves just two days after a subpoena from U.S authorities rattled the stock.,Reuters,IND-USA
2018-07-05,Carmaker Jaguar says 'bad Brexit' would mean it could not stay in UK,"Britain's biggest carmaker Jaguar Land Rover has joined dissenters to a ""hard Brexit"", saying that Britain leaving the EU without a trade deal would cost it 1.2 billion pounds ($1.59 billion) a year and curtail its future UK operations.",Reuters,CHN-GBR
2018-07-05,China's ethanol push in doubt as U.S. trade dispute widens,"China's ambitious push to use biofuel in cars nationwide by 2020 is in doubt amid concerns about supplies of raw material such as corn, complicated by an escalating trade dispute with Washington, producers and analysts say.",Reuters,CHN-USA
2018-07-06,Volkswagen loses bid to block investigators examining legal files,"Volkswagen has lost a legal challenge to prevent prosecutors from examining unpublished documents about its emission scandal, with Germany's top court ruling on Friday that files seized from a U.S. law firm may be reviewed.",Reuters,DEU-USA
2018-07-06,JPMorgan denies report of interest in Deutsche Bank,U.S. investment bank JPMorgan denied a report on Friday in Germany's WirtschaftsWoche business weekly that it was interested in acquiring a stake in Deutsche Bank .,Reuters,DEU-USA
2018-07-06,Investors to tune in for trade impact this profit season,"With the United States and China finally formalizing tit-for-tat import tariffs, Wall Street is gearing up to dissect U.S. corporate earnings in the coming weeks for signs of a trade war impact and whether it will affect spending plans.",Reuters,CHN-USA
2018-07-06,China says forced to fight back against U.S. trade bullying,"China has no choice but to fight back against U.S. bullying on trade, the country's Commerce Ministry said on Friday, after Washington's tariffs on $34 billion in Chinese imports took effect.",Reuters,CHN-USA
2018-07-06,China has imposed counter tariffs on U.S. goods: China Daily,"China has implemented additional tariffs on some import products from the United States immediately after new U.S. tariffs took effect on Friday, the official English language China Daily newspaper reported",Reuters,CHN-USA
2018-07-06,"China Daily changes its report, now says China will respond to U.S. tariffs","China's official English-language newspaper the China Daily on Friday changed a report from earlier in the day, now saying that the Chinese government will take action to respond to newly-imposed United States tariffs.",Reuters,CHN-USA
2018-07-06,China says retaliatory tariffs on U.S. goods took effect at 12:01 p.m.,"China's retaliatory tariffs on $34 billion worth of U.S. goods took effect at 12:01 p.m. in Beijing (0401 GMT) on Friday, the official Xinhua news agency said, citing the customs office.",Reuters,CHN-USA
2018-07-06,The fallout in commodities from the U.S.-China Trade war: what's at stake,"Washington imposed tariffs on $34 billion of Chinese imports on Friday and Beijing has said it will retaliate with punitive measures on U.S. products worth a similar amount, including soybeans, pork and cotton.",Reuters,CHN-USA
2018-07-06,China says has begun implementing some retaliatory tariffs on U.S. goods,"China's Foreign Ministry said on Friday that Beijing has already begun implementing tariffs on some U.S. goods in retaliation for U.S. duties on $34 billion in Chinese imports, which took effect the same day.",Reuters,CHN-USA
2018-07-06,"Go ship, Go! China roots for last U.S. soybean cargo to land before tariffs kick in","It is not often that the niche world of commodities trading enters the public conversation, but on Friday China's social media was rooting for a ship carrying soybeans from the United States to beat the deadline before Chinese tariffs kicked in.",Reuters,CHN-IND
2018-07-07,"Instant View: U.S. triggers China tariffs, fuels fears of escalating trade war","The United States and China slapped tit-for-tat duties on $34 billion worth of each other's imports on Friday, with Beijing accusing Washington of triggering the ""largest-scale trade war"" as the world's two biggest economies sharply escalated their conflict.",Reuters,CHN-USA
2018-07-07,Huawei says does not expect U.S. sanctions: press,"China's Huawei, the world's largest maker of telecommunication network equipment, does not see itself becoming the target of U.S. sanctions and will keep buying U.S. chips this year, one of its three rotating chairmen told a French newspaper.",Reuters,CHN-USA
2018-07-07,Departing ZTE executive describes 'deep humiliation' in farewell letter,"A departing senior executive at China's ZTE Corp , which is fighting a crippling U.S. supplier ban, said in a letter to staff on Friday that his departure amid a Sino-US trade war was ""deeply humiliating"".",Reuters,CHN-USA
2018-07-07,"China to keep on path of reform, opening markets: Li","China will stick to the path of opening its markets and other reforms that has lifted its growth, Premier Li Keqiang said on Saturday, a day after the Washington and Beijing slapped tariffs on $34 billion worth of each others' imports.",Reuters,CHN-USA
2018-07-08,China's COSCO Shipping wins U.S. security clearance for OOIL deal,China's COSCO Shipping Holdings said on Sunday a key U.S. review body has cleared its planned $6.3 billion acquisition of shipping firm Orient Overseas International Ltd (OOIL) on security issues.,Reuters,CHN-USA
2018-07-08,France says Europe united against U.S. tariffs as Germany eyes negotiation,The French government insisted on Sunday that Washington should expect united retaliation from Europe to further tariff increases after Germany signaled it was prepared to negotiate.,Reuters,DEU-USA
2018-07-09,"House Republicans query Apple, Alphabet on privacy, data practices",Four senior U.S. House Republicans sent letters on Monday to the chief executives of Apple Inc and Google parent Alphabet Inc asking questions about location data and mobile phone privacy practices and the handling of customer data.,Reuters,JPN-USA
2018-07-09,"BlackRock expands in Paris with new hires ahead of Brexit, source says","BlackRock has increased its staff in Paris and is seeking to set up an alternative investment management business there, a source close to the company said on Monday, in another sign of the French capital's increasing post-Brexit appeal.",Reuters,CHN-FRA
2018-07-09,U.S. metal tariffs could hurt output in western Japan: BOJ official,"U.S. metal import tariffs could have a big negative impact on auto and other final goods production in the Kansai western Japan region, a senior Bank of Japan official said on Monday.",Reuters,JPN-USA
2018-07-09,Citi bolsters Paris hub ahead of Brexit,"Citigroup is boosting its operations in France ahead of Brexit with a series of senior appointments, according to an internal memo reviewed by Reuters on Monday.",Reuters,CHN-FRA
2018-07-09,"Starbucks' departing chairman backs China prospects, hints at Jack Ma tie-up","Starbucks Corp's outgoing Executive Chairman Howard Schultz said on Monday that a recent slowdown in China would be short-lived, seeking to salve investor concerns that the U.S. coffee chain is under pressure in the fast-growing market.",Reuters,CHN-USA
2018-07-09,China says tariffs on U.S. goods to be used to ease impact of trade fight,China's commerce ministry said on Monday that it will use funds collected from tariffs charged on imports from the United States to help ease the impact of U.S. trade actions on Chinese companies and their employees.,Reuters,CHN-USA
2018-07-09,Chinese customs clears some U.S. goods as new tariffs take effect: sources,"Major Chinese ports have started clearing goods from the United States on Monday, as new tariffs on U.S. imports have gone into effect, three sources told Reuters, as a trade spat between Beijing and Washington escalated into an outright war last Friday.",Reuters,CHN-USA
2018-07-09,Xiaomi's weak debut signals trouble for upcoming Hong Kong tech listings,"Xiaomi Corp made a weak debut in Hong Kong on Monday, with the Chinese smartphone maker's shares sliding as much as 6 percent on valuation concerns, in an ominous sign for its technology sector peers lining up listings in the city.",Reuters,CHN-HKG
2018-07-10,"Raytheon, Lockheed, Northrop Grumman win $4.1 billion U.S. defense contract","Raytheon Co , Lockheed Martin Corp and Northrop Grumman Corp are each being awarded a multiple award U.S. defense contract worth a maximum $4.1 billion for ballistic missile defense, the Pentagon said on Tuesday.",Reuters,CHN-USA
2018-07-10,Offshore yuan falls more than 0.5 percent after U.S. announces new tariffs,"The offshore yuan fell more than 0.5 percent in early trade on Wednesday after Washington announced a plan to slap tariffs on $200 billion of imports from China, escalating tensions between the world's two biggest economies.",Reuters,CHN-USA
2018-07-10,"Dow Jones futures extend fall, down one percent in Asian trade","U.S. stock futures extended their losses on Wednesday after Washington announced a plan to slap tariffs on an extra $200 billion of imports from China, sharply escalating a trade war between the world's two biggest economies.",Reuters,CHN-USA
2018-07-10,U.S. says to slap tariffs on extra $200 billion of Chinese imports,"The Trump administration raised the stakes in its trade war with China on Tuesday, saying it would slap 10 percent tariffs on an extra $200 billion worth of Chinese imports.",Reuters,CHN-USA
2018-07-10,SoftBank tightens grip on Yahoo Japan via $2 billion deal with Altaba,"SoftBank Group is increasing its stake in Yahoo Japan through a $2 billion, three-way deal with U.S. firm Altaba to deepen ties with the internet heavyweight ahead of an IPO of its telecoms unit.",Reuters,JPN-USA
2018-07-10,Tesla moves first to hike prices in China as trade war hits car makers,"U.S. carmaker Tesla Inc has hiked prices on its Model X and S cars by about 20 percent in China, the first automaker to do so in the world's top automotive market in response to mounting trade tensions between the countries.",Reuters,CHN-USA
2018-07-10,Japan's Takeda gains U.S. approval for $62 billion Shire buy,"Takeda Pharmaceutical Co Ltd on Tuesday said it has received U.S. approval for its $62 billion acquisition of London-listed Shire Plc, taking the Japanese firm one step closer to its goal of becoming a global top 10 drugmaker.",Reuters,GBR-USA
2018-07-11,U.S. says the 'reckoning' over China trade is too big for WTO,"A ""reckoning"" over China's unfair trade policies is urgent and is too big for the World Trade Organization to handle, U.S. ambassador Dennis Shea told a WTO meeting on Wednesday.",Reuters,CHN-USA
2018-07-11,China vows to hit back over U.S. proposal for fresh tariffs,"China accused the United States of bullying and warned it would hit back after the Trump administration raised the stakes in their trade dispute, threatening 10 percent tariffs on $200 billion of Chinese goods in a move that rattled global markets.",Reuters,CHN-USA
2018-07-11,China says plans by U.S. for additional tariffs completely unacceptable,"China's commerce ministry said on Wednesday the proposed U.S. tariffs on an extra $200 billion of Chinese goods is completely unacceptable, adding that Beijing will have to respond to the latest moves by Washington.",Reuters,CHN-USA
2018-07-11,Citi readies for Asia investment surge with new China desk as trade war intensifies,"Citigroup Inc will set up a China business desk in India within the year betting on a pickup in investment flows within the Asian region, its Asia-Pacific corporate banking head said, as concerns grow about the impact of a Sino-U.S. trade war.",Reuters,CHN-IND
2018-07-11,China says it stands on the right side of history in protecting multilateralism,"China stands on the right side of history in defending multilateralism, its foreign ministry said on Wednesday, after U.S. President Donald Trump's administration threatened 10 percent tariffs on $200 billion worth of Chinese imports.",Reuters,CHN-USA
2018-07-11,Australia prepares to ban Huawei from 5G project over security fears,"Australia is preparing to ban Huawei Technologies Co Ltd from supplying equipment for its planned 5G broadband network after its intelligence agencies raised concerns that Beijing could force the Chinese telco to hand over sensitive data, two sources said.",Reuters,AUS-CHN
2018-07-11,Malaysia reviews monopoly risk in ride-hailing market after Grab-Uber deal,"Malaysia is studying monopoly risk in the ride-hailing market in the country triggered by the merger of Grab and Uber, and is bringing the service under some existing regulations, the transport ministry said on Wednesday.",Reuters,CHN-MYS
2018-07-11,Ex-Apple worker charged with stealing self-driving car trade secrets,"U.S. authorities charged a former Apple Inc employee with stealing trade secrets on Monday, accusing him of downloading a blueprint related to a self-driving car to a personal laptop before trying to flee the country for China, according to a criminal complaint filed in federal court.",Reuters,CHN-USA
2018-07-11,"China to its state media: keep calm, don't inflame trade row with U.S.","China is clearly angry about Washington's hard line on trade, but has controlled coverage of the row in its media, limiting open commentary and banning attacks on U.S. President Donald Trump, several sources with knowledge of the matter said.",Reuters,CHN-USA
2018-07-11,U.S. home refinancing requests drop to lowest since 2000: MBA,"U.S. loan applications to refinance existing homes fell to their lowest in over 17-1/2 years even as most 30-year home borrowing costs fell last week, data from the Mortgage Bankers Association showed on Wednesday.",Reuters,CHN-USA
2018-07-12,Beijing urges U.S. firms in China to lobby Washington over trade war,"China on Thursday said foreign firms operating in China would suffer in a trade war, urging U.S. companies to lobby their government to protect their interests, and said no talks to end the impasse were currently under way.",Reuters,CHN-USA
2018-07-12,Singapore's GIC flags lower long-term returns in tough investment climate,"Singapore sovereign wealth fund GIC has trimmed its exposure to developed market equities such as U.S. stocks over the past year on high valuations, and cautioned it expects lower long-term returns in an uncertain investment climate.",Reuters,SGP-USA
2018-07-12,UK nears decision to buy Boeing AWACS planes: sources,"Britain's government is nearing a decision to buy four to six surveillance planes built by U.S. aerospace giant Boeing , sources familiar with the plans said on Thursday, a move that could stir a growing debate over UK and European defense jobs.",Reuters,GBR-USA
2018-07-12,Walmart says no decision to sell Japan Seiyu supermarket unit,U.S. retailer Walmart Inc on Thursday said it has not decided to sell its Japanese supermarket chain Seiyu and would continue to develop its business in Japan.,Reuters,JPN-USA
2018-07-12,Importers snap up cheap U.S. soybeans as China stops buying,"China's retaliatory tariffs on U.S. soybeans, threatened for weeks and enacted Friday, have driven down prices and triggered a wave of bargain shopping by importers in other countries stocking up on cheap U.S. supplies, according to a Reuters analysis of government data.",Reuters,CHN-USA
2018-07-12,"U.S. companies in China mostly oppose tariffs, survey shows","Most U.S. businesses operating in China oppose using tariffs as a weapon to solve their problems ranging from market access to poor protection of intellectual property rights, a survey suggested on Thursday.",Reuters,CHN-USA
2018-07-12,"U.S. companies in China mostly oppose tariffs, survey shows","Most U.S. businesses operating in China oppose using tariffs as a weapon to solve their problems ranging from market access to poor protection of intellectual property rights, a survey suggested on Thursday.",Reuters,CHN-USA
2018-07-12,China says hopes U.S. firms will lobby Washington to defend their China interests,China's commerce ministry said on Thursday it hopes American firms operating in China will lobby the U.S. government and defend their interests as they will be impacted by U.S. trade action.,Reuters,CHN-USA
2018-07-12,Trade war may steer tax cuts' windfall to even more buybacks,"The escalating trade war between the United States and China may prompt U.S. companies to shift money they had earmarked for capital expenditures into stock buybacks instead, pushing record levels of corporate share repurchases even higher.",Reuters,CHN-USA
2018-07-13,U.S. sanctions seen barring IT platform of insurer Lloyd's for Iran trade,"New U.S. sanctions are likely to prevent the use of a Lloyd's of London IT platform for any Iran insurance, adding to difficulties for European insurers providing cover for the country.",Reuters,IRN-USA
2018-07-13,China's trade surplus with U.S. hits record as exporters rush to beat tariffs,"China's trade surplus with the United States swelled to a record in June as its overall exports grew at a solid pace, a result that could further inflame a bitter trade dispute with Washington.",Reuters,CHN-USA
2018-07-13,Republican Senator Rubio slams lifting of U.S. ban on China's ZTE,"Republican U.S. Senator Marco Rubio criticized on Friday the decision by the United States to lift a ban on suppliers selling to ZTE Corp <000063.SZ), allowing China's second-largest telecommunications equipment maker to resume business.",Reuters,CHN-USA
2018-07-13,"'Together Against Trump', thousands protest peacefully in London","Chanting ""Donald Trump has got to go,"" tens of thousands of protesters marched through London on Friday waving banners and banging pots to demonstrate against the U.S. president on his first official visit to Britain.",Reuters,GBR-USA
2018-07-13,U.S. lifts ban on suppliers selling to China's ZTE,"The U.S. Department of Commerce on Friday lifted a ban on U.S. companies selling goods to ZTE Corp, allowing China's second-largest telecommunications equipment maker to resume business.",Reuters,CHN-USA
